Track,Title,Date,Start Time,End Time,Location,Description,People ID's,
General Lectures,When to Tenuki? (All levels),7/27/2018,1:00 PM,2:50 PM,Tidewater B,,1001,Yilun Yang (7P)
Game Reviews,"All levels, Yilun Yang (7P)",7/22/2018,10:00 AM,11:50 AM,Tidewater B,,1001,Yilun Yang (7P)
Game Reviews,"2 Dan and above, Yilun Yang (7P)",7/22/2018,3:00 PM,4:50 PM,Classroom A,,1001,Yilun Yang (7P)
Game Reviews,"Kyu level, Ryan Li (1P)",7/23/2018,3:00 PM,4:50 PM,Balcony 1,,1008,Ryan Li (1P)
Game Reviews,"Dan level, Eric Lui (1P)",7/23/2018,3:00 PM,4:50 PM,Lobby,,1004,Eric Lui (1P)
Game Reviews,"Dan level, Eric Lui (1P)",7/26/2018,3:00 PM,4:50 PM,Balcony 1,,1004,Eric Lui (1P)
Game Reviews,"All levels, Mingjiu Jiang (7P)",7/23/2018,7:00 PM,8:50 PM,Balcony 1,,1009,Mingjiu Jiang (7P)
Game Reviews,"Dan level, Ryan Li (1P)",7/24/2018,3:00 PM,4:50 PM,Balcony 1,,1008,Ryan Li (1P)
Game Reviews,"1 Dan and below, Yilun Yang (7P)",7/24/2018,3:00 PM,4:50 PM,Lobby,,1001,Yilun Yang (7P)
Game Reviews,"All levels, Mingjiu Jiang (7P)",7/26/2018,10:00 AM,11:50 AM,Balcony 1,,1009,Mingjiu Jiang (7P)
Game Reviews,"All levels, Mingjiu Jiang (7P)",7/24/2018,7:00 PM,8:50 PM,Balcony 1,,1009,Mingjiu Jiang (7P)
Game Reviews,"All levels, Eodeokdung Lee (2P)",7/24/2018,10:00 AM,11:50 AM,Balcony 1,,1014,Eodeokdung Lee (2P)
Game Reviews,"2 Dan and above, Eodeokdung Lee (2P)",7/26/2018,1:00 PM,2:50 PM,Balcony 1,,1014,Eodeokdung Lee (2P)
Game Reviews,"Kyu level, Eodeokdung Lee (2P)",7/22/2018,3:00 PM,4:50 PM,Lobby,,1014,Eodeokdung Lee (2P)
Game Reviews,"2 Dan and above, Eodeokdung Lee (2P)",7/24/2018,1:00 PM,2:50 PM,Balcony 1,,1014,Eodeokdung Lee (2P)
Game Reviews,"All levels, Ryan Li (1P)",7/26/2018,7:00 PM,8:50 PM,Balcony 1,,1008,Ryan Li (1P)
Game Reviews,"Kyu level, Ryo Maeda (6P)",7/27/2018,3:00 PM,4:50 PM,Balcony 1,,1011,Ryo Maeda (6P)
Game Reviews,"All levels, Yilun Yang (7P)",7/27/2018,7:00 PM,8:50 PM,Tidewater B,,1001,Yilun Yang (7P)
